Dimension,pca Time,pca Standard Deviation,knn Accuracy,knn Standard Deviation
1,2.49200778,0.088865563,0.3068,0.000672309
2,2.471524239,0.052978067,0.47662,0.001298307
3,2.552660847,0.043645419,0.5387,0.000167332
4,2.746569252,0.054312724,0.66558,0.001921874
5,2.552795172,0.054995357,0.77172,0.001926032
6,2.382065105,0.084820833,0.84412,0.001116065
7,2.470242882,0.048858124,0.87734,0.000293939
8,2.610003376,0.060409645,0.90326,0.00272
9,2.85864501,0.165415576,0.9156,0.00056921
10,2.941884804,0.212735871,0.92904,0.000531413
