Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,7.361437082290649,1.8977184295654297,0.38775000000000004,0.011449999999999986
2,5.1339685916900635,0.25246334075927734,0.34145000000000003,0.03435000000000002
3,6.699771881103516,0.6217472553253174,0.39185000000000003,0.03585000000000002
4,6.522132515907288,0.03630030155181885,0.4685,0.019700000000000023
5,6.242521405220032,0.7583454847335815,0.49,0.005900000000000016
6,6.272667050361633,0.326133131980896,0.52325,0.004349999999999965
7,6.2344290018081665,0.997559666633606,0.5129,0.028100000000000014
8,4.872694492340088,0.15764594078063965,0.60755,0.023349999999999982
9,6.12335991859436,0.43661952018737793,0.5881000000000001,0.007899999999999963
10,5.597139477729797,0.0037850141525268555,0.6238,0.006099999999999994
