Dimension,dae2 Time,dae2 Standard Deviation,knn Accuracy,knn Standard Deviation
1,27.67945957,2.285696507,0.53545,0.02005
2,28.29538405,6.552358985,0.67465,0.00665
3,32.76294994,3.722675562,0.7307,0.0016
4,28.51497996,7.763267398,0.76515,0.00555
5,33.54374194,7.731325388,0.77795,0.00325
6,31.88636041,3.077329159,0.78655,5.00E-05
7,29.11604655,1.599119544,0.78915,0.00105
8,28.85947633,0.914011478,0.79425,0.00585
9,35.93422234,1.731360793,0.80295,0.00285
10,27.4491992,1.631916761,0.8075,0.0003
