Dimension,dae Time,dae Standard Deviation,knn Accuracy,knn Standard Deviation
1,9.575968265533447,0.03966832160949707,0.59695,0.005249999999999977
2,12.582256078720093,0.08952760696411133,0.6970000000000001,0.00040000000000001146
3,10.847115635871887,0.17942535877227783,0.7389,0.00029999999999996696
4,14.955833077430725,1.7555311918258667,0.7764,0.00029999999999996696
5,11.149415493011475,1.1184260845184326,0.78225,0.004049999999999998
6,13.64436137676239,0.617322564125061,0.7837000000000001,0.0008999999999999564
7,11.632429838180542,2.150428056716919,0.79365,0.0018500000000000183
8,11.919312953948975,0.03670382499694824,0.7988999999999999,0.0023000000000000242
9,9.990975737571716,1.3404802083969116,0.8011999999999999,0.0005000000000000004
10,11.868370294570923,0.577261209487915,0.80525,0.0019500000000000073
