Dimension,pca Time,pca Standard Deviation,qda Accuracy,qda Standard Deviation
1,2.594400287,0.033799529,0.3036,0
2,2.479951262,0.010582328,0.518,0
3,2.670396447,0.019092441,0.6223,0
4,2.822156906,0.201627016,0.6833,0
5,2.589775443,0.071170211,0.7114,0
6,2.565454841,0.116737247,0.7187,0
7,2.560164452,0.030879974,0.7284,0
8,2.557072997,0.069767833,0.7422,0
9,2.563673258,0.038071632,0.7482,0
10,2.659175515,0.006391406,0.75505,5.00E-05
11,2.877496004,0.06774497,0.76495,5.00E-05
12,2.764192224,0.037854314,0.76475,5.00E-05
13,2.79217875,0.006496072,0.77055,5.00E-05
14,2.704502821,0.028860092,0.7721,0.0002
15,2.914772391,0.049793124,0.77695,5.00E-05
16,3.153052688,0.006369472,0.7805,0.0002
17,3.065343857,0.078634262,0.7832,0
18,2.985417247,0.045868278,0.7813,0.0005
